			School				Cost				Effect					% Chance to gain								AI value				Right Click Text				
キュア	キュア	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	8	4	4	0	4	4	8	4	4	4	4	"{「キュア」}

選択した味方部隊から悪影響がある呪文の効果を取り
除き、体力をわずかながら回復させる。"	"{「キュア」修得者レベル}

選択した味方部隊から悪影響がある呪文の効果を取り
除き、体力をわずかながら回復させる。"	"{「キュア」熟練者レベル}

選択した味方部隊から悪影響がある呪文の効果を取り
除き、体力をわずかながら回復させる。
修得者レベルより10ポイント多くダメージが回復。"	"{「キュア」達人レベル}

選択した部隊から悪影響がある呪文の効果を取り
除き、体力をわずかながら回復させる。
修得者レベルより20ポイント多くダメージが回復。"	 COMBAT_SPELL|CREATURE_TARGET_1
レザレクション	レザレクション	4	x	 	 	 	20	16	16	16	50	40	40	80	160	8	8	8	8	12	6	0	0	50	50	60	120	"{「レザレクション」}

一定数の体力を回復させることで、選択した部隊のク
リーチャーを復活させる。"	"{「レザレクション」修得者レベル}

一定数の体力を回復させることで、選択した部隊のク
リーチャーを復活させる。"	"{「レザレクション」熟練者レベル}

一定数の体力を回復させることで、選択した部隊のク
リーチャーを復活させる。
修得者レベルより40ポイント多く体力が回復する。"	"{「レザレクション」達人レベル}

一定数の体力を回復させることで、選択した部隊のク
リーチャーを復活させる。
修得者レベルより120ポイント多く体力が回復する。"	 COMBAT_SPELL|CREATURE_TARGET
ネクロノミコン	ネクロノミコン	3	x	 	 	 	15	12	12	12	50	30	30	60	160	4	6	6	8	12	6	6	8	60	60	60	120	"{「ネクロノミコン」}

一定数の体力を回復させることで、選択したアンデッ
ド部隊のクリーチャーを蘇らせる。"	"{「ネクロノミコン」修得者レベル}

一定数の体力を回復させることで、選択したアンデッ
ド部隊のクリーチャーを蘇らせる。"	"{「ネクロノミコン」熟練者レベル}

一定数の体力を回復させることで、選択したアンデッ
ド部隊のクリーチャーを蘇らせる。
修得者レベルより30ポイント多く体力が回復する。"	"{「ネクロノミコン」達人レベル}

一定数の体力を回復させることで、選択したアンデッ
ド部隊のクリーチャーを蘇らせる。
修得者レベルより130ポイント多く体力が回復する。"	 COMBAT_SPELL|CREATURE_TARGET
サクリファイス	サクリファイス	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	4	4	13	16	12	0	0	1	1	1	1	"{「サクリファイス」}

味方部隊を壊滅させ、その代わりにすでに壊滅してい
る部隊を復活させる。復活するクリーチャーの数は、
呪文の使い手の魔力と生贄になった部隊の体力ポイン
トによって決まる。"	"{「サクリファイス」修得者レベル}

味方部隊を壊滅させ、その代わりにすでに壊滅してい
る部隊を復活させる。復活するクリーチャーの数は、
呪文の使い手の魔力と生贄になった部隊の体力ポイン
トによって決まる。"	"{「サクリファイス」熟練者レベル}

味方部隊を壊滅させ、その代わりにすでに壊滅してい
る部隊を復活させる。復活するクリーチャーの数は、
呪文の使い手の魔力と生贄になった部隊の体力ポイン
トによって決まる。
修得者レベルより多くのクリーチャーが復活する。"	"{「サクリファイス」達人レベル}

味方部隊を壊滅させ、その代わりにすでに壊滅してい
る部隊を復活させる。復活するクリーチャーの数は、
呪文の使い手の魔力と生贄になった部隊の体力ポイン
トによって決まる。
熟練者レベルより多くのクリーチャーが復活する。"	 COMBAT_SPELL|CREATURE_TARGET
ブレス	ブレス	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	6	4	0	0	0	4	4	10	10	11	11	"{「ブレス」}

選択された部隊は敵に最大限のダメージを与える。"	"{「ブレス」修得者レベル}

選択された部隊は敵に最大限のダメージを与える。"	"{「ブレス」熟練者レベル}

選択された部隊は敵に通常の最大値を越えたダメージ
を与える。"	"{「ブレス」達人レベル}

全ての味方部隊が敵に通常の最大値を越えたダメージ
を与える。"	 COMBAT_SPELL|CREATURE_TARGET_2
カース	カース	1	 		x	 	6	5	5	5	0	0	0	1	1	6	6	6	8	10	8	4	8	10	10	11	11	"{「カース」}

選択された敵部隊は相手に最小限のダメージしか与え
られなくなる。"	"{「カース」修得者レベル}

選択された敵部隊は相手に最小限のダメージしか与え
られなくなる。"	"{「カース」熟練者レベル}

選択された敵部隊は相手に通常の最小値をさらに下回
るダメージしか与えられなくなる。"	"{「カース」達人レベル}

敵の全部隊が相手に通常の最小値をさらに下回るダメ
ージしか与えられなくなる。"	 COMBAT_SPELL|CREATURE_TARGET_2
ストレングス	ストレングス	1	 	 	x	 	5	4	4	4	0	3	3	6	6	4	4	6	10	4	8	10	4	7	7	15	15	"{「ストレングス」}

選択した部隊の白兵戦によるダメージが増える。"	"{「ストレングス」修得者レベル}

選択した部隊の白兵戦によるダメージが増える。"	"{「ストレングス」熟練者レベル}

選択した部隊の白兵戦によるダメージが増える。
修得者レベルの2倍の効果がある。"	"{「ストレングス」達人レベル}

全ての味方部隊の白兵戦によるダメージが増える。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
プレシジョン	プレシジョン	2	 	 	 	x	8	6	6	6	0	3	3	6	6	8	10	6	6	6	6	8	6	7	7	15	15	"{「プレシジョン」}

選択した部隊の飛び道具によるダメージが増える。"	"{「プレシジョン」修得者レベル}

選択した部隊の飛び道具によるダメージが増える。"	"{「プレシジョン」熟練者レベル}

選択した部隊の飛び道具によるダメージが増える。
修得者レベルの2倍の効果がある。"	"{「プレシジョン」達人レベル}

全ての味方部隊の飛び道具によるダメージが増える。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
ウィークネス	ウィークネス	2	 	x	 	 	8	6	6	6	0	3	3	6	6	8	6	4	6	4	8	6	8	7	7	15	15	"{「ウィークネス」}

選択した敵部隊の攻撃力が低下する。"	"{「ウィークネス」修得者レベル}

選択した敵部隊の攻撃力が低下する。"	"{「ウィークネス」熟練者レベル}

選択した敵部隊の攻撃力が低下する。
修得者レベルの2倍の効果がある。"	"{「ウィークネス」達人レベル}

全ての敵部隊の攻撃力が低下する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
ストーンスキン	ストーンスキン	1	x	 	 	 	5	4	4	4	0	3	3	6	6	6	6	6	8	8	8	10	8	7	7	15	15	"{「ストーンスキン」}

選択した部隊の防御力が向上する。"	"{「ストーンスキン」修得者レベル}

選択した部隊の防御力が向上する。"	"{「ストーンスキン」熟練者レベル}

選択した部隊の防御力が向上する。
修得者レベルの2倍の効果がある。"	"{「ストーンスキン」達人レベル}

全ての味方部隊の防御力が向上する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
ディスラプション	ディスラプション	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	6	10	6	8	8	8	8	7	7	15	15	"{「ディスラプション」}

選択した敵部隊の防御力が低下する。同じ部隊に繰り
返しかけることもできる。"	"{「ディスラプション」修得者レベル}

選択した敵部隊の防御力が低下する。同じ部隊に繰り
返しかけることもできる。"	"{「ディスラプション」熟練者レベル}

選択した敵部隊の防御力が低下する。同じ部隊に繰り
返しかけることもできる。
修得者レベルより効果が大きい。"	"{「ディスラプション」達人レベル}

選択した敵部隊の防御力が低下する。同じ部隊に繰り
返しかけることもできる。
熟練者レベルより効果が大きい。"	 COMBAT_SPELL|CREATURE_TARGET_2
プレアー	プレアー	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	6	4	0	0	0	0	0	8	8	16	16	"{「プレアー」}

選択された部隊の攻撃力、防御力、スピードが向上す
る。"	"{「プレアー」修得者レベル}

選択された部隊の攻撃力、防御力、スピードが向上す
る。
"	"{「プレアー」熟練者レベル}

選択された部隊の攻撃力、防御力、スピードが向上す
る。
修得者レベルの2倍の効果がある。"	"{「プレアー」達人レベル}

全ての味方部隊の攻撃力、防御力、スピードが向上す
る。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
ジョイ	ジョイ	3	 	x	 	 	12	9	9	9	0	1	1	2	2	10	8	4	4	4	4	6	6	1	1	2	2	"{「ジョイ」}

選択した部隊の士気が向上する。"	"{「ジョイ」修得者レベル}

選択した部隊の士気が向上する。"	"{「ジョイ」熟練者レベル}

選択した部隊の士気が向上する。
修得者レベルの2倍の効果がある。"	"{「ジョイ」達人レベル}

全ての味方部隊の士気が向上する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
ソロウ	ソロウ	4	x	 	 	 	16	12	12	12	0	1	1	2	2	6	8	8	6	12	8	0	0	1	1	2	2	"{「ソロウ」}

選択した敵部隊の士気が低下する。"	"{「ソロウ」修得者レベル}

選択した敵部隊の士気が低下する。"	"{「ソロウ」熟練者レベル}

選択した敵部隊の士気が低下する。
修得者レベルの2倍の効果がある。"	"{「ソロウ」達人レベル}

全ての敵部隊の士気が低下する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
フォーチューン	フォーチューン	2	 	 	 	x	7	5	5	5	0	1	1	2	2	8	6	8	6	4	6	4	6	1	1	2	2	"{「フォーチューン」}

選択した部隊の運が向上する。"	"{「フォーチューン」修得者レベル}

選択した部隊の運が向上する。"	"{「フォーチューン」熟練者レベル}

選択した部隊の運が向上する。
修得者レベルの2倍の効果がある。"	"{「フォーチューン」達人レベル}

全ての味方部隊の運が向上する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
ミスフォーチューン	ミスフォーチューン	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	8	8	8	8	8	1	1	2	2	"{「ミスフォーチューン」}

選択した敵部隊の運が低下する。"	"{「ミスフォーチューン」修得者レベル}

選択した敵部隊の運が低下する。
消費呪文ポイントは通常の半分。"	"{「ミスフォーチューン」熟練者レベル}

選択した敵部隊の運が低下する。
修得者レベルの2倍の効果がある。"	"{「ミスフォーチューン」達人レベル}

全ての敵部隊の運が低下する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
ヘイスト	ヘイスト	1		 	 	x	6	5	5	5	0	3	3	5	5	6	10	10	6	8	8	8	6	5	5	10	10	"{「ヘイスト」}

選択した部隊のスピードが向上する。"	"{「ヘイスト」修得者レベル}

選択した部隊のスピードが向上する。"	"{「ヘイスト」熟練者レベル}

選択した部隊のスピードが向上する。
修得者レベルの2倍近い効果がある。"	"{「ヘイスト」達人レベル}

全ての味方部隊のスピードが向上する。
修得者レベルの2倍近い効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
スロウ	スロウ	1	x	 	 	 	6	5	5	5	0	75	75	50	50	6	6	6	8	8	8	6	8	5	5	15	15	"{「スロウ」}

選択した敵部隊のスピードが低下する。"	"{「スロウ」修得者レベル}

選択した敵部隊のスピードが低下する。"	"{「スロウ」熟練者レベル}

選択した敵部隊のスピードが低下する。
修得者レベルの2倍の効果がある。"	"{「スロウ」達人レベル}

全ての敵部隊のスピードが低下する。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET_2
スレイヤー	スレイヤー	4	 		x	 	16	12	12	12	0	8	8	8	8	10	10	4	4	6	6	0	0	1	1	1	1	"{「スレイヤー」}

ドラゴン、ベヒモス、ヒドラに与えるダメージが増え
る。"	"{「スレイヤー」修得者レベル}

ドラゴン、ベヒモス、ヒドラに与えるダメージが増え
る。"	"{「スレイヤー」熟練者レベル}

ドラゴン、ベヒモス、ヒドラ、デビル、エンジェルに
与えるダメージが増える。"	"{「スレイヤー」達人レベル}

ドラゴン、ベヒモス、ヒドラ、デビル、エンジェル、
タイタンに与えるダメージが増える。"	 COMBAT_SPELL|CREATURE_TARGET
ワイルドラッシュ	ワイルドラッシュ	4	 	 	x	 	16	12	12	12	0	100	100	150	200	4	4	4	11	6	6	0	0	10	10	20	30	"{「ワイルドラッシュ」}

選択した部隊は意図的に防御を甘くし、その分だけ攻
撃を激しくする。"	"{「ワイルドラッシュ」修得者レベル}

選択した部隊は意図的に防御を甘くし、その分だけ攻
撃を激しくする。"	"{「ワイルドラッシュ」熟練者レベル}

選択した部隊は意図的に防御を甘くし、その分だけ攻
撃を激しくする。
修得者レベルより50％大きな効果がある。"	"{「ワイルドラッシュ」達人レベル}

選択した部隊は意図的に防御を甘くし、その分だけ攻
撃を激しくする。
修得者レベルの2倍の効果がある。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Fear ( disabled )	Fear ( disabled )	4	 	 	 	 	16	8	8	8	0	75	75	50	25	0	0	0	0	0	0	0	0	50	50	50	50	"{「恐慌」}

敵部隊に恐怖心を起こさせ、攻撃できなくする(移動もほとんどできない)。"	"{「恐慌」修得者レベル}

敵部隊に恐怖心を起こさせ、攻撃できなくする(移動もほとんどできない)。

消費呪文ポイントは凡人レベルの半分。"	"{「恐慌」熟練者レベル}

敵部隊に恐怖心を起こさせ、攻撃できなくする(移動もほとんどできない)。

移動ペナルティーは修得者レベルの２倍。"	"{「恐慌」達人レベル}

敵部隊に恐怖心を起こさせ、攻撃できなくする(移動もほとんどできない)。

移動ペナルティーは修得者レベルの３倍。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
カウンターストライク	カウンターストライク	4	 	 	 	x	24	20	20	20	0	1	1	2	2	8	8	10	4	6	6	0	0	20	20	30	30	"{「カウンターストライク」}

選択した部隊の1ラウンドあたりの反撃回数が1回増え
る。"	"{「カウンターストライク」修得者レベル}

選択した部隊の1ラウンドあたりの反撃回数が1回増え
る。"	"{「カウンターストライク」熟練者レベル}

選択した部隊の1ラウンドあたりの反撃回数が2回増え
る。"	"{「カウンターストライク」達人レベル}

全ての味方部隊の1ラウンドあたりの反撃回数が2回増
える。"	 COMBAT_SPELL|CREATURE_TARGET_2
ベルセルク	ベルセルク	4	 	 	x	 	20	16	16	16	0	0	0	1	2	4	4	4	10	6	8	0	0	60	60	60	60	"{「ベルセルク」}

選択した部隊は最も近くにいる部隊を敵味方の見境な
くランダムに攻撃する。"	"{「ベルセルク」修得者レベル}

選択した部隊は最も近くにいる部隊を敵味方の見境な
くランダムに攻撃する。"	"{「ベルセルク」熟練者レベル}

選択した部隊は最も近くにいる部隊を敵味方の見境な
くランダムに攻撃する。
修得者レベルより＋6ヘックスに効果を及ぼす。"	"{「ベルセルク」達人レベル}

選択した部隊は最も近くにいる部隊を敵味方の見境な
くランダムに攻撃する。
修得者レベルより＋18ヘックスに効果を及ぼす。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
コントロール	コントロール	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	6	8	6	6	6	4	6	25	25	50	100	"{「コントロール」}

敵部隊を一時的に自分の支配下に置く。"	"{「コントロール」修得者レベル}

敵部隊を一時的に自分の支配下に置く。"	"{「コントロール」熟練者レベル}

敵部隊を一時的に自分の支配下に置く。
修得者レベルより体力が10ポイント多い敵を支配下に
置ける。"	"{「コントロール」達人レベル}

敵部隊を一時的に自分の支配下に置く。
修得者レベルより体力が40ポイント多い敵を支配下に
置ける。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
フォゲット	フォゲット	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	6	4	4	6	8	8	1	1	1	1	"{「フォゲット」}

選択した敵部隊の半数が、飛び道具を使って攻撃する
ことを忘れてしまう。"	"{「フォゲット」修得者レベル}

選択した敵部隊の半数が、飛び道具を使って攻撃する
ことを忘れてしまう。"	"{「フォゲット」熟練者レベル}

選択された敵部隊は飛び道具を使って攻撃することを
忘れてしまう。"	"{「フォゲット」達人レベル}

全ての敵部隊が飛び道具を使って攻撃することを忘れ
てしまう。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
ブラインド	ブラインド	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	8	6	8	4	8	8	4	50	50	50	50	"{「ブラインド」}

敵の目を潰し、動けなくしてしまう。また、反撃の威
力も通常の半分になってしまう。この効果はその部隊
が攻撃されるか、さもなければ「ディスペル」の呪文
が使われるまで続く。"	"{「ブラインド」修得者レベル}

敵の目を潰し、動けなくしてしまう。また、反撃の威
力も通常の半分になってしまう。この効果はその部隊
が攻撃されるか、さもなければ「ディスペル」の呪文
が使われるまで続く。"	"{「ブラインド」熟練者レベル}

敵の目を潰し、動けなくしてしまう。また、反撃の威
力も通常の1/4になってしまう。この効果はその部隊
が攻撃されるか、さもなければ「ディスペル」の呪文
が使われるまで続く。"	"{「ブラインド」達人レベル}

敵の目を潰し、移動も反撃もできなくしてしまう。こ
の効果はその部隊が攻撃されるか、さもなければ「デ
ィスペル」の呪文が使われるまで続く。"	 COMBAT_SPELL|CREATURE_TARGET
テレポート	テレポート	3	 	x	 	 	15	12	6	3	0	0	0	0	0	6	6	6	10	4	6	8	8	20	20	20	20	"{「テレポート」}

戦場の何もない場所に味方部隊をテレポートさせるこ
とができる。
ただし、城壁や堀を越えてテレポートさせることはで
きない。"	"{「テレポート」修得者レベル}

戦場の何もない場所に味方部隊をテレポートさせるこ
とができる。
ただし、城壁や堀を越えてテレポートさせることはで
きない。"	"{「テレポート」熟練者レベル}

戦場の何もない場所に味方部隊をテレポートさせるこ
とができる。
ただし、城壁を越えてテレポートさせることはできな
い。"	"{「テレポート」達人レベル}

戦場の何もない場所に味方部隊をテレポートさせるこ
とができる。"	 COMBAT_SPELL|CREATURE_TARGET
リムーブオブスタクル	リムーブオブスタクル	2	 	x	 	 	7	5	5	5	0	0	0	0	0	6	8	6	8	8	8	8	6	1	1	1	1	"{「リムーブオブスタクル」}

呪文の使い手の任意の障害物（木や岩など、普通のも
のに限る）を戦場から取り除くことができる。"	"{「リムーブオブスタクル」修得者レベル}

呪文の使い手の任意の障害物（木や岩など、普通のも
のに限る）を戦場から取り除くことができる。"	"{「リムーブオブスタクル」熟練者レベル}

呪文の使い手の任意の障害物（木や岩といった普通の
ものだけでなく、「ファイアーウォール」等も含まれ
る）を戦場から取り除くことができる。"	"{「リムーブオブスタクル」達人レベル}

呪文の使い手の任意の障害物（自然物だけでなく、魔
法によるものも含まれる）を戦場から取り除くことが
できる。"	 COMBAT_SPELL|OBSTACLE_TARGET
クローン	クローン	4	 	x	 	 	24	20	20	20	0	5	5	6	7	8	8	8	4	8	8	0	0	20	20	40	50	"{「クローン」}

選択した部隊の複製を作り出す。ただし、これは幻影
にすぎず、攻撃されると霧散してしまう。
複製を作れるクリーチャーのレベルは1～5。"	"{「クローン」修得者レベル}

選択した部隊の複製を作り出す。ただし、これは幻影
にすぎず、攻撃されると霧散してしまう。
複製を作れるクリーチャーのレベルは1～5。"	"{「クローン」熟練者レベル}

選択した部隊の複製を作り出す。ただし、これは幻影
にすぎず、攻撃されると霧散してしまう。
複製を作れるクリーチャーのレベルは1～6。"	"{「クローン」達人レベル}

選択した部隊の複製を作り出す。ただし、これは幻影
にすぎず、攻撃されると霧散してしまう。
複製を作れるクリーチャーのレベルに制限はない。"	 COMBAT_SPELL|CREATURE_TARGET
ファイアーエレメンタル	ファイアーエレメンタル	5			x		25	20	20	20	0	2	2	3	4	0	4	9	15	9	11	0	0	50	50	100	150	"{「ファイアーエレメンタル」}

ファイアーエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。"	"{「ファイアーエレメンタル」修得者レベル}

ファイアーエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。"	"{「ファイアーエレメンタル」熟練者レベル}

ファイアーエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。
修得者レベルより50％多い部隊が召喚される。"	"{「ファイアーエレメンタル」達人レベル}

ファイアーエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。
修得者レベルのおよそ2倍の部隊が召喚される。"	 COMBAT_SPELL
アースエレメンタル	アースエレメンタル	5	x				25	20	20	20	0	2	2	3	4	0	16	12	12	16	14	0	0	50	50	100	150	"{「アースエレメンタル」}

アースエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。"	"{「アースエレメンタル」修得者レベル}

アースエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。"	"{「アースエレメンタル」熟練者レベル}

アースエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。
修得者レベルより50％多い部隊が召喚される。"	"{「アースエレメンタル」達人レベル}

アースエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。
修得者レベルのおよそ2倍の部隊が召喚される。"	 COMBAT_SPELL
ウォーターエレメンタル	ウォーターエレメンタル	5		x			25	20	20	20	0	2	2	3	4	0	12	5	5	13	9	0	0	50	50	100	150	"{「ウォーターエレメンタル」}

ウォーターエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。
"	"{「ウォーターエレメンタル」修得者レベル}

ウォーターエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。
"	"{「ウォーターエレメンタル」熟練者レベル}

ウォーターエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。
修得者レベルより50％多い部隊が召喚される。"	"{「ウォーターエレメンタル」達人レベル}

ウォーターエレメントを召喚することができる。ただ
し、一度この呪文を使ってしまうと、他の種類のエレ
メントを召喚することはできなくなってしまう。
修得者レベルのおよそ2倍の部隊が召喚される。"	 COMBAT_SPELL
エアーエレメンタル	エアーエレメンタル	5				x	25	20	20	20	0	2	2	3	4	0	12	15	9	7	4	0	0	50	50	100	150	"{「エアーエレメンタル」}

エアーエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。"	"{「エアーエレメンタル」修得者レベル}

エアーエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。"	"{「エアーエレメンタル」熟練者レベル}

エアーエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。
修得者レベルより50％多い部隊が召喚される。"	"{「エアーエレメンタル」達人レベル}

エアーエレメントを召喚することができる。ただし、
一度この呪文を使ってしまうと、他の種類のエレメン
トを召喚することはできなくなってしまう。
修得者レベルのおよそ2倍の部隊が召喚される。"	 COMBAT_SPELL
																																
Creature Abilities																																
																																
Stone Gaze	Stone Gaze	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Poison	Poison	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Disease	Disease	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Paralyze	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Age	Age	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Death Cloud	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Thunderbolt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Death Stare	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1					
